level,time,clicks,feedback_method,timestamp
1,12.68,12,relative,2024-10-21T11:17:50.925219
2,12.88,14,relative,2024-10-21T11:18:03.806141
1,15.47,7,beep_rate,2024-10-21T11:18:22.920326
2,24.02,16,beep_rate,2024-10-21T11:18:46.936234
1,3.9,3,beep_rate,2024-10-21T11:21:10.806269
2,17.72,16,beep_rate,2024-10-21T11:21:28.524537
1,2.72,5,pitch,2024-10-21T11:22:37.266589
2,5.13,9,pitch,2024-10-21T11:22:42.392666
1,6.05,5,beep_rate,2024-10-21T11:25:17.005742
2,13.24,11,beep_rate,2024-10-21T11:25:30.249234
1,4.86,5,directional,2024-10-21T11:25:42.376025
2,7.56,7,directional,2024-10-21T11:25:49.937437
1,12.7,10,beep_rate,2024-10-21T11:26:38.393190
2,10.71,7,beep_rate,2024-10-21T11:26:49.105384
1,4.24,6,pitch,2024-10-21T11:30:24.630674
2,5.31,7,pitch,2024-10-21T11:30:29.936067
1,5.27,5,pitch,2024-10-21T11:30:59.561135
2,6.42,8,pitch,2024-10-21T11:31:05.982198
3,8.0,10,pitch,2024-10-21T11:31:13.981883
4,25.17,28,pitch,2024-10-21T11:31:39.148981
1,4.13,6,volume,2024-10-21T11:31:48.166949
2,11.68,15,volume,2024-10-21T11:31:59.844498
3,18.16,26,volume,2024-10-21T11:32:18.005254
4,42.47,62,volume,2024-10-21T11:33:00.472715
1,5.16,6,directional,2024-10-21T11:33:08.529009
2,11.04,10,directional,2024-10-21T11:33:19.565712
3,7.59,6,directional,2024-10-21T11:33:27.160514
4,11.76,7,directional,2024-10-21T11:33:38.917099
1,5.04,6,relative,2024-10-21T11:33:50.277308
2,5.49,6,relative,2024-10-21T11:33:55.770428
3,19.58,18,relative,2024-10-21T11:34:15.355286
4,21.79,26,relative,2024-10-21T11:34:37.147367
1,6.27,7,beep_rate,2024-10-21T11:34:47.334803
2,12.81,13,beep_rate,2024-10-21T11:35:00.145495
3,27.53,26,beep_rate,2024-10-21T11:35:27.676390
4,11.93,8,beep_rate,2024-10-21T11:35:39.609890
1,12.87,7,pitch,2024-10-21T11:39:01.994686
2,7.33,6,pitch,2024-10-21T11:39:09.326237
3,13.31,14,pitch,2024-10-21T11:39:22.634611
4,24.66,24,pitch,2024-10-21T11:39:47.291375
1,2.52,2,volume,2024-10-21T11:40:16.740431
2,35.15,31,volume,2024-10-21T11:40:51.887685
3,93.49,107,volume,2024-10-21T11:42:25.374049
4,114.93,164,volume,2024-10-21T11:44:20.302339
1,7.35,4,directional,2024-10-21T11:44:34.560125
2,8.4,5,directional,2024-10-21T11:44:42.958945
3,10.37,7,directional,2024-10-21T11:44:53.327602
4,19.24,11,directional,2024-10-21T11:45:12.572357
1,9.43,5,relative,2024-10-21T11:45:25.582235
2,30.79,9,relative,2024-10-21T11:45:56.371959
3,26.87,17,relative,2024-10-21T11:46:23.237557
4,20.86,13,relative,2024-10-21T11:46:44.100034
1,16.76,8,beep_rate,2024-10-21T11:47:04.815608
2,12.56,7,beep_rate,2024-10-21T11:47:17.380313
3,14.75,7,beep_rate,2024-10-21T11:47:32.129323
4,33.32,30,beep_rate,2024-10-21T11:48:05.453022
1,2.22,2,pitch,2024-10-21T11:49:42.519799
2,12.85,15,pitch,2024-10-21T11:49:55.364856
3,15.83,20,pitch,2024-10-21T11:50:11.199470
4,9.05,10,pitch,2024-10-21T11:50:20.251928
1,3.79,5,volume,2024-10-21T11:50:29.831698
2,22.99,35,volume,2024-10-21T11:50:52.825366
3,25.37,44,volume,2024-10-21T11:51:18.191597
4,27.13,51,volume,2024-10-21T11:51:45.324123
1,6.36,7,directional,2024-10-21T11:51:56.046197
2,3.24,4,directional,2024-10-21T11:51:59.291204
3,8.07,7,directional,2024-10-21T11:52:07.360340
4,12.21,17,directional,2024-10-21T11:52:19.566996
1,4.23,7,relative,2024-10-21T11:52:27.014996
2,5.99,8,relative,2024-10-21T11:52:33.003839
3,14.16,19,relative,2024-10-21T11:52:47.165503
4,18.62,32,relative,2024-10-21T11:53:05.784285
1,12.73,22,beep_rate,2024-10-21T11:53:21.643617
2,4.99,6,beep_rate,2024-10-21T11:53:26.629306
3,27.99,20,beep_rate,2024-10-21T11:53:54.621745
4,15.01,13,beep_rate,2024-10-21T11:54:09.629055
1,22.93,6,pitch,2024-10-21T12:40:39.383602
2,36.11,24,pitch,2024-10-21T12:41:15.491132
3,45.44,49,pitch,2024-10-21T12:42:00.932293
4,29.13,33,pitch,2024-10-21T12:42:30.065078
1,12.09,11,volume,2024-10-21T12:43:12.601693
2,20.29,22,volume,2024-10-21T12:43:32.887129
3,94.66,75,volume,2024-10-21T12:45:07.549157
4,144.5,177,volume,2024-10-21T12:47:32.052628
1,5.08,2,directional,2024-10-21T12:48:13.531657
2,9.01,4,directional,2024-10-21T12:48:22.541546
3,7.93,4,directional,2024-10-21T12:48:30.469293
4,15.87,8,directional,2024-10-21T12:48:46.334317
1,18.93,9,relative,2024-10-21T12:49:11.738263
2,10.44,6,relative,2024-10-21T12:49:22.181317
3,24.35,15,relative,2024-10-21T12:49:46.526890
4,45.68,30,relative,2024-10-21T12:50:32.204650
1,22.09,15,beep_rate,2024-10-21T12:51:03.619365
2,99.75,86,beep_rate,2024-10-21T12:52:43.367297
3,51.44,39,beep_rate,2024-10-21T12:53:34.805929
4,22.55,9,beep_rate,2024-10-21T12:53:57.358524
1,28.0,12,pitch,2024-10-21T12:59:40.550830
2,37.95,19,pitch,2024-10-21T13:00:18.497343
3,18.44,10,pitch,2024-10-21T13:00:36.937944
4,18.62,14,pitch,2024-10-21T13:00:55.560021
1,2.05,1,volume,2024-10-21T13:01:08.534227
2,15.37,11,volume,2024-10-21T13:01:23.901596
3,188.6,185,volume,2024-10-21T13:04:32.498582
4,29.25,12,volume,2024-10-21T13:05:01.749632
1,5.38,2,directional,2024-10-21T13:05:21.522221
2,13.16,7,directional,2024-10-21T13:05:34.683356
3,18.61,9,directional,2024-10-21T13:05:53.295510
4,13.3,6,directional,2024-10-21T13:06:06.600424
1,31.88,20,relative,2024-10-21T13:06:43.767595
2,97.89,72,relative,2024-10-21T13:08:21.662523
3,18.29,10,relative,2024-10-21T13:08:39.950874
4,45.71,34,relative,2024-10-21T13:09:25.663751
1,13.33,3,beep_rate,2024-10-21T13:09:47.714882
2,20.8,13,beep_rate,2024-10-21T13:10:08.519869
3,28.15,16,beep_rate,2024-10-21T13:10:36.665744
4,184.41,201,beep_rate,2024-10-21T13:13:41.071728
1,36.12,10,pitch,2024-10-21T13:43:31.063535
2,8.45,6,pitch,2024-10-21T13:43:39.513113
3,23.29,28,pitch,2024-10-21T13:44:02.799401
4,27.05,25,pitch,2024-10-21T13:44:29.848348
1,7.91,7,volume,2024-10-21T13:44:59.898687
2,21.35,27,volume,2024-10-21T13:45:21.249424
3,23.86,31,volume,2024-10-21T13:45:45.105560
4,10.75,12,volume,2024-10-21T13:45:55.860225
1,9.48,5,directional,2024-10-21T13:46:10.155583
2,12.81,5,directional,2024-10-21T13:46:22.965170
3,9.68,4,directional,2024-10-21T13:46:32.645380
4,12.26,6,directional,2024-10-21T13:46:44.902671
1,1.91,1,relative,2024-10-21T13:46:51.651824
2,39.2,15,relative,2024-10-21T13:47:30.851135
3,25.76,10,relative,2024-10-21T13:47:56.609687
4,25.53,10,relative,2024-10-21T13:48:22.141048
1,20.06,10,beep_rate,2024-10-21T13:48:49.017567
2,5.47,3,beep_rate,2024-10-21T13:48:54.483242
3,15.61,10,beep_rate,2024-10-21T13:49:10.094403
4,76.01,96,beep_rate,2024-10-21T13:50:26.103372
